Row.ID,Order.ID,Customer.Name,Order.Date,Order.Priority,Order.Quantity,Sales,Discount,Ship.Mode,Profit,Unit.Price,Shipping.Cost,Region,Customer.Segment,Product.Category,Product.Container,Product.Base.Margin,Ship.Date,Return.Status
11,995,Neola Schneider,30-05-2011,Medium,46,1815.49,0.03,Regular Air,782.91,39.89,3.04,Nunavut,Home Office,Furniture,Wrap Bag,0.53,31-05-2011,0
12,998,Allen Rosenblatt,25-11-2009,Not Specified,16,248.26,0.07,Regular Air,93.8,15.74,1.39,Nunavut,Small Business,Office Supplies,Small Box,0.4,26-11-2009,0
13,1154,Sylvia Foulston,14-02-2012,Critical,44,4462.23,0.04,Delivery Truck,440.72,100.98,26.22,Nunavut,Home Office,Furniture,Jumbo Box,0.6,16-02-2012,0
14,1344,Jim Radford,15-04-2012,Low,15,834.904,0.06,Regular Air,-11.68,65.99,5.26,Nunavut,Corporate,Technology,Small Box,0.59,22-04-2012,0
15,1412,Carlos Soltero,12-03-2010,Not Specified,13,59.03,0.1,Express Air,26.92,3.69,0.5,Nunavut,Consumer,Office Supplies,Small Box,0.38,14-03-2010,0
16,1539,Carl Ludwig,09-03-2011,Low,33,511.83,0.1,Regular Air,-172.88,15.99,13.18,Nunavut,Corporate,Office Supplies,Small Box,0.37,11-03-2011,0
17,1540,Don Miller,04-08-2012,High,30,80.9,0.09,Regular Air,5.76,2.88,0.7,Nunavut,Home Office,Office Supplies,Wrap Bag,0.56,06-08-2012,0
18,1702,Annie Cyprus,06-05-2011,High,23,67.24,0.06,Regular Air,4.9,2.84,0.93,Nunavut,Home Office,Office Supplies,Wrap Bag,0.54,07-05-2011,0
19,1761,Carl Ludwig,23-12-2010,High,25,12028.23,0.01,Delivery Truck,-547.61,449.99,49,Nunavut,Corporate,Technology,Jumbo Drum,0.38,25-12-2010,0
20,1792,Carlos Soltero,08-11-2010,Low,28,370.48,0.04,Regular Air,-5.45,13.48,4.51,Nunavut,Consumer,Office Supplies,Small Box,0.59,13-11-2010,0
21,2275,Grant Carroll,21-10-2012,Not Specified,49,278,0.08,Regular Air,41.67,6.08,1.17,Nunavut,Small Business,Office Supplies,Wrap Bag,0.56,22-10-2012,0
22,2277,Don Miller,01-01-2011,Not Specified,10,66.54,0.01,Regular Air,-46.03,5.98,4.38,Nunavut,Home Office,Technology,Small Pack,0.75,02-01-2011,0
23,2532,Alan Barnes,10-10-2011,High,39,282.07,0.03,Regular Air,140.01,7.31,0.49,Nunavut,Corporate,Office Supplies,Small Box,0.38,11-10-2011,0
24,2631,Jack Garza,23-09-2010,Low,27,1078.49,0.08,Regular Air,252.66,40.96,1.99,Nunavut,Corporate,Technology,Small Pack,0.55,25-09-2010,0
25,2757,Julia West,19-07-2011,Critical,39,3554.46,0.07,Delivery Truck,-1766.01,95.95,74.35,Nunavut,Corporate,Furniture,Jumbo Drum,0.57,19-07-2011,0
26,2791,Eugene Barchas,09-10-2009,High,47,191.67,0,Regular Air,-236.27,3.89,7.01,Nunavut,Corporate,Office Supplies,Small Box,0.37,09-10-2009,0
27,2976,Edward Hooks,09-12-2010,Not Specified,30,14223.82,0.09,Delivery Truck,3424.22,500.98,26,Nunavut,Consumer,Furniture,Jumbo Drum,0.6,11-12-2010,0
28,3232,Brad Eason,08-10-2012,Critical,5,42.66,0.06,Regular Air,-11.83,7.84,4.71,Nunavut,Small Business,Office Supplies,Small Box,0.35,10-10-2012,0
29,3524,Nicole Hansen,02-05-2012,High,21,427.32,0,Regular Air,52.35,18.97,9.03,Nunavut,Small Business,Office Supplies,Small Box,0.37,03-05-2012,0
30,3908,Dorothy Wardle,08-03-2010,Medium,8,820.284,0,Regular Air,-180.2,115.99,2.5,Nunavut,Corporate,Technology,Small Box,0.57,08-03-2010,0
31,4132,Aaron Bergman,28-05-2011,Not Specified,5,14.76,0.01,Regular Air,1.32,2.88,0.5,Nunavut,Corporate,Office Supplies,Small Box,0.36,30-05-2011,0
32,4612,Jim Radford,19-09-2010,Medium,9,89.55,0.06,Regular Air,-375.64,4.48,49,Nunavut,Corporate,Office Supplies,Large Box,0.6,21-09-2010,0
33,4676,Annie Cyprus,31-08-2011,High,11,1210.0515,0.04,Regular Air,-104.25,125.99,7.69,Nunavut,Home Office,Technology,Small Box,0.58,01-09-2011,0
34,5284,Annie Cyprus,08-07-2011,Not Specified,7,59.38,0.1,Regular Air,-3.05,8.69,2.99,Nunavut,Home Office,Office Supplies,Small Box,0.39,10-07-2011,0
35,5316,Clay Rozendal,30-01-2009,Critical,42,1285.37,0.1,Regular Air,514.07,31.78,1.99,Nunavut,Corporate,Technology,Small Pack,0.42,01-02-2009,0
36,5409,Don Jones,08-01-2012,Low,11,48.91,0.01,Regular Air,-7.04,3.98,2.97,Nunavut,Corporate,Office Supplies,Wrap Bag,0.35,13-01-2012,0
37,5506,Beth Thompson,07-11-2010,Critical,22,129.62,0.05,Regular Air,4.41,5.88,3.04,Nunavut,Corporate,Office Supplies,Wrap Bag,0.36,08-11-2010,0
38,5569,Frank Price,29-04-2010,Not Specified,12,118.97,0.09,Regular Air,-0.06,9.65,6.22,Nunavut,Corporate,Furniture,Small Box,0.55,01-05-2010,0
39,5607,Michelle Lonsdale,31-12-2011,Not Specified,8,61.8715,0,Regular Air,-50.33,7.99,5.03,Nunavut,Home Office,Technology,Medium Box,0.6,03-01-2012,0
40,5894,Ann Chong,12-08-2009,High,7,384.33,0.1,Regular Air,87.68,58.1,1.49,Nunavut,Corporate,Office Supplies,Small Box,0.38,13-08-2009,0
41,5925,Joy Bell,12-11-2011,Low,44,3922.42,0.08,Regular Air,-354.9,92.23,39.61,Nunavut,Home Office,Furniture,Medium Box,0.67,19-11-2011,0
42,6016,Skye Norling,20-01-2012,High,19,208.28,0.07,Regular Air,3.63,11.48,5.43,Nunavut,Home Office,Office Supplies,Small Box,0.36,20-01-2012,0
43,6116,Barry Weirich,20-03-2009,Medium,6,9620.82,0.04,Regular Air,-1759.58,1637.53,24.49,Nunavut,Corporate,Office Supplies,Medium Box,0.81,22-03-2009,0
44,6182,Grant Carroll,21-07-2012,Low,40,255.48,0.04,Regular Air,-116.79,6.48,6.65,Nunavut,Corporate,Office Supplies,Small Box,0.36,28-07-2012,0
45,6535,Adrian Hane,12-06-2012,Critical,11,312.36,0.07,Express Air,-19.33,28.15,8.99,Nunavut,Corporate,Office Supplies,Small Pack,0.57,15-06-2012,0
46,6884,Skye Norling,15-01-2009,Low,41,217,0.01,Regular Air,-61.21,4.98,4.75,Nunavut,Home Office,Office Supplies,Small Box,0.36,20-01-2009,0
47,6916,Andrew Gjertsen,04-06-2010,Low,40,436.17,0.08,Express Air,-141.27,10.9,7.46,Nunavut,Consumer,Office Supplies,Small Box,0.59,08-06-2010,0
48,6980,Ralph Knight,18-02-2010,Not Specified,18,136.29,0.05,Regular Air,-77.28,7.3,7.72,Nunavut,Consumer,Office Supplies,Small Box,0.38,19-02-2010,0
49,6982,Dorothy Wardle,16-11-2011,Not Specified,32,1311.25,0,Express Air,407.44,39.48,1.99,Nunavut,Corporate,Technology,Small Pack,0.54,18-11-2011,0
50,7110,Grant Carroll,07-08-2011,Low,22,6396.2,0.02,Regular Air,1902.24,276.2,24.49,Nunavut,Corporate,Furniture,Large Box,0.44,11-08-2011,0
51,7430,Barry Weirich,08-06-2010,Medium,50,751.77,0.05,Regular Air,353.2,15.67,1.39,Nunavut,Corporate,Office Supplies,Small Box,0.38,09-06-2010,0
52,7906,Beth Paige,17-10-2009,Medium,37,1003.06,0.03,Regular Air,271.78,25.98,5.37,Nunavut,Consumer,Office Supplies,Medium Box,0.5,17-10-2009,0
53,8391,Sylvia Foulston,28-08-2011,High,4,1266.72,0.04,Delivery Truck,-268.36,300.98,64.73,Nunavut,Corporate,Furniture,Jumbo Drum,0.56,29-08-2011,0
54,8419,Nicole Hansen,29-09-2011,Critical,19,368.04,0.07,Express Air,70.39,19.98,5.97,Nunavut,Small Business,Office Supplies,Small Box,0.38,01-10-2011,0
55,8833,Nicole Hansen,04-05-2012,Low,40,3338.98,0,Regular Air,-846.73,80.98,35,Nunavut,Small Business,Office Supplies,Large Box,0.81,08-05-2012,0
56,8995,Beth Paige,17-05-2011,High,5,24.16,0.08,Express Air,8.05,1.88,1.49,Nunavut,Consumer,Office Supplies,Small Box,0.37,18-05-2011,0
57,9126,Sylvia Foulston,17-11-2009,Medium,47,2799.7,0.04,Regular Air,884.08,62.05,3.99,Northwest Territories,Corporate,Office Supplies,Small Box,0.55,18-11-2009,0
58,9127,Bryan Davis,10-10-2011,Not Specified,7,2039.56,0.04,Express Air,-329.49,279.48,35,Northwest Territories,Corporate,Office Supplies,Large Box,0.8,12-10-2011,0
59,9509,Joy Bell,07-10-2012,Not Specified,36,12175.82,0.02,Delivery Truck,2825.15,320.98,58.95,Northwest Territories,Home Office,Furniture,Jumbo Drum,0.57,08-10-2012,0
60,9763,Alan Barnes,13-08-2011,Medium,44,176.26,0.07,Regular Air,75.13,4.13,0.5,Northwest Territories,Corporate,Office Supplies,Small Box,0.39,16-08-2011,0
61,9927,Grant Carroll,16-08-2011,High,32,4655.07,0,Delivery Truck,-270.63,140.98,53.48,Northwest Territories,Corporate,Furniture,Jumbo Box,0.65,17-08-2011,1
62,10022,Delfina Latchford,04-03-2009,Low,1,12.18,0.06,Regular Air,-3.88,10.14,2.27,Northwest Territories,Small Business,Office Supplies,Wrap Bag,0.36,04-03-2009,0
63,10437,Don Jones,18-08-2009,Critical,50,820.52,0.01,Regular Air,-191.22,15.99,13.18,Northwest Territories,Corporate,Office Supplies,Small Box,0.37,20-08-2009,0
64,10499,Doug Bickford,16-11-2010,Not Specified,29,6250.936,0.01,Delivery Truck,31.21,262.11,62.74,Northwest Territories,Corporate,Furniture,Jumbo Box,0.75,17-11-2010,0
65,10535,Doug Bickford,27-05-2011,Low,25,854.88,0.09,Regular Air,-44.14,33.98,19.99,Northwest Territories,Corporate,Furniture,Small Box,0.55,29-05-2011,0
66,10789,Jamie Kunitz,23-08-2010,Not Specified,15,308.54,0,Express Air,76.42,19.84,4.1,Northwest Territories,Corporate,Office Supplies,Wrap Bag,0.44,24-08-2010,0
67,10791,Anthony Johnson,19-08-2011,Not Specified,20,400.57,0.05,Regular Air,93.36,19.98,5.77,Northwest Territories,Small Business,Office Supplies,Small Box,0.38,21-08-2011,0
68,10945,Ralph Knight,03-01-2012,Medium,14,1170.025,0.04,Regular Air,4.22,95.99,8.99,Northwest Territories,Consumer,Technology,Small Box,0.57,05-01-2012,0
69,11137,Allen Rosenblatt,29-11-2012,High,48,5188.86,0.1,Regular Air,395.12,111.03,8.64,Northwest Territories,Small Business,Office Supplies,Small Box,0.78,30-11-2012,0
70,11202,Barry Weirich,17-03-2012,Medium,8,339.81,0.05,Regular Air,79.59,43.41,2.99,Northwest Territories,Corporate,Office Supplies,Small Box,0.39,18-03-2012,0
71,11456,Doug Bickford,12-04-2010,Low,15,1519.9,0.09,Regular Air,399.37,105.34,24.49,Northwest Territories,Corporate,Furniture,Large Box,0.61,19-04-2010,0
72,11460,Carl Jackson,24-08-2010,High,30,102.24,0.09,Regular Air,37.79,3.69,0.5,Northwest Territories,Home Office,Office Supplies,Small Box,0.38,26-08-2010,0
73,11495,Brendan Dodson,04-07-2011,High,6,965.69,0,Delivery Truck,-144.2,146.34,43.75,Northwest Territories,Corporate,Furniture,Jumbo Box,0.65,05-07-2011,0
74,11911,Edward Hooks,10-11-2010,Critical,25,397.84,0,Regular Air,-14.75,15.22,9.73,Northwest Territories,Consumer,Office Supplies,Small Box,0.36,12-11-2010,1
75,11941,Jamie Kunitz,24-06-2010,Critical,4,73.07,0.08,Regular Air,-41.01,15.7,11.25,Northwest Territories,Corporate,Office Supplies,Small Box,0.6,25-06-2010,0
76,12096,Michelle Lonsdale,19-09-2012,Medium,46,8009.5925,0.02,Regular Air,2332.4,200.99,8.08,Northwest Territories,Home Office,Technology,Small Box,0.59,19-09-2012,1
77,12289,Brendan Dodson,24-12-2011,Low,25,3019.41,0.04,Regular Air,1269.05,120.97,7.11,Northwest Territories,Corporate,Technology,Medium Box,0.36,28-12-2011,0
78,12352,Hunter Glantz,23-03-2012,Medium,5,36.86,0.07,Regular Air,-32.82,5.81,8.49,Northwest Territories,Corporate,Office Supplies,Small Box,0.39,24-03-2012,0
79,12419,Sylvia Foulston,15-10-2011,Critical,12,22079.47,0.06,Regular Air,5322.14,1938.02,13.99,Northwest Territories,Corporate,Technology,Medium Box,0.38,17-10-2011,0
80,12485,Eugene Barchas,07-08-2010,Critical,24,5407.31,0.04,Delivery Truck,1068.48,226.67,28.16,Northwest Territories,Home Office,Furniture,Jumbo Drum,0.59,08-08-2010,0
81,12544,Jim Radford,03-03-2009,Low,34,74.3,0.08,Regular Air,-129.01,2.08,5.33,Northwest Territories,Corporate,Furniture,Small Box,0.43,10-03-2009,0
82,12704,Carlos Soltero,09-02-2010,Low,44,21506.77,0.06,Regular Air,1260.51,499.99,24.49,Northwest Territories,Small Business,Technology,Large Box,0.36,09-02-2010,1
83,12771,Carlos Soltero,17-01-2009,Critical,40,1143.49,0.08,Regular Air,-193.44,30.53,19.99,Northwest Territories,Small Business,Office Supplies,Small Box,0.39,17-01-2009,0
84,12929,Jim Radford,30-08-2010,Critical,19,5297.47,0.02,Delivery Truck,-158.93,270.98,50,Northwest Territories,Corporate,Furniture,Jumbo Drum,0.77,31-08-2010,0
85,13280,Grant Carroll,11-09-2009,High,40,460.68,0.01,Regular Air,-116.76,10.9,7.46,Northwest Territories,Small Business,Office Supplies,Small Box,0.59,12-09-2009,0
86,13313,Skye Norling,16-07-2009,Not Specified,47,1020.61,0.04,Regular Air,-209.61,21.66,13.99,Northwest Territories,Home Office,Office Supplies,Medium Box,0.52,17-07-2009,0
87,13346,Doug Bickford,15-11-2012,Low,44,268.34,0.09,Regular Air,-240.83,6.48,8.88,Northwest Territories,Corporate,Office Supplies,Small Box,0.37,20-11-2012,0
88,13702,Grant Carroll,10-09-2011,Low,6,209,0.08,Regular Air,12.32,35.44,7.5,Northwest Territories,Small Business,Office Supplies,Small Box,0.38,14-09-2011,0
89,13795,Muhammed MacIntyre,10-04-2011,Not Specified,30,501.32,0.04,Regular Air,-119.08,15.99,13.18,Northwest Territories,Small Business,Office Supplies,Small Box,0.37,13-04-2011,0
90,14116,Doug Bickford,09-10-2011,High,1,40.1,0.09,Regular Air,-16.07,30.98,11.63,Northwest Territories,Small Business,Office Supplies,Small Box,0.37,11-10-2011,0
91,14372,Beth Thompson,23-10-2012,Critical,34,5350.61,0.09,Delivery Truck,-1059.2,170.98,60.49,Northwest Territories,Corporate,Furniture,Jumbo Box,0.69,25-10-2012,0
92,14726,Ralph Knight,08-01-2012,Low,15,310.87,0.07,Regular Air,-21.48,20.95,4,Northwest Territories,Consumer,Technology,Small Box,0.6,08-01-2012,0
93,14819,Carl Jackson,25-01-2010,Not Specified,48,9062.73,0.09,Regular Air,3122.78,207.48,0.99,Northwest Territories,Home Office,Office Supplies,Small Box,0.55,27-01-2010,0
94,15106,Dorothy Badders,27-01-2011,Not Specified,42,283.58,0.03,Regular Air,-14.23,6.64,4.95,Northwest Territories,Home Office,Furniture,Small Pack,0.37,29-01-2011,1
95,15108,Delfina Latchford,27-08-2009,High,50,2066.16,0.02,Regular Air,372.36,40.99,17.48,Northwest Territories,Small Business,Office Supplies,Small Box,0.36,29-08-2009,0
96,15205,Julia West,17-03-2011,Critical,18,4605.36,0.02,Delivery Truck,678.26,243.98,43.32,Northwest Territories,Corporate,Furniture,Jumbo Drum,0.55,19-03-2011,0
97,15591,Brad Eason,06-06-2012,Critical,31,426.34,0,Regular Air,73.53,12.58,5.16,Northwest Territories,Small Business,Furniture,Small Box,0.43,08-06-2012,0
98,15907,Thomas Seio,11-04-2011,High,36,1837.44,0.01,Delivery Truck,-1414.41,48.58,54.11,Northwest Territories,Home Office,Furniture,Jumbo Box,0.69,13-04-2011,0
99,15937,Monica Federle,06-11-2012,Low,32,311.44,0.04,Regular Air,74.07,9.78,1.99,Northwest Territories,Corporate,Technology,Small Pack,0.43,10-11-2012,0
100,16039,Michelle Lonsdale,16-05-2012,High,3,121.12,0.1,Regular Air,-118.82,43.98,1.99,Northwest Territories,Home Office,Technology,Small Pack,0.44,17-05-2012,0
101,16193,Frank Price,09-04-2012,Not Specified,8,300.2,0,Regular Air,6.41,34.76,8.22,Northwest Territories,Corporate,Office Supplies,Small Box,0.57,11-04-2012,0
102,16423,Bryan Davis,05-08-2012,Medium,19,128.21,0.05,Regular Air,-55.13,6.48,6.57,Northwest Territories,Corporate,Office Supplies,Small Box,0.37,07-08-2012,0
103,16451,Don Jones,22-07-2009,Not Specified,9,252.79,0.09,Regular Air,58.23,30.56,2.99,Northwest Territories,Corporate,Office Supplies,Small Box,0.35,23-07-2009,0
104,16545,Carlos Soltero,09-05-2010,Not Specified,10,50.97,0.09,Regular Air,4.45,5.16,0.73,Northwest Territories,Small Business,Office Supplies,Wrap Bag,0.56,11-05-2010,0
105,16547,Nicole Hansen,18-02-2009,Not Specified,30,10554.63,0.09,Delivery Truck,1240.25,355.98,58.92,Northwest Territories,Corporate,Furniture,Jumbo Drum,0.64,20-02-2009,0
106,16706,Beth Thompson,27-06-2012,High,47,1943.72,0.03,Regular Air,-1003.58,41.47,34.2,Northwest Territories,Corporate,Furniture,Wrap Bag,0.73,28-06-2012,0
107,16741,Nicole Hansen,30-09-2010,Medium,6,157.97,0.01,Regular Air,-42.38,22.84,16.87,Northwest Territories,Small Business,Office Supplies,Small Box,0.39,01-10-2010,0
108,16932,Carlos Soltero,15-04-2010,Critical,25,144.84,0.09,Regular Air,-120.99,5.78,8.09,Northwest Territories,Consumer,Office Supplies,Small Box,0.36,16-04-2010,0
109,17283,Dorothy Badders,14-09-2011,Not Specified,4,5472.12,0.06,Delivery Truck,-2816.34,1360.14,14.7,Northwest Territories,Home Office,Technology,Jumbo Drum,0.59,15-09-2011,0
110,17286,Muhammed MacIntyre,21-09-2010,High,7,1810.67,0.09,Delivery Truck,-541.87,270.98,50,Northwest Territories,Small Business,Furniture,Jumbo Drum,0.77,22-09-2010,0
111,17409,Muhammed MacIntyre,17-08-2010,Not Specified,31,633.56,0.09,Regular Air,-158.87,20.97,6.5,Northwest Territories,Small Business,Technology,Small Box,0.78,19-08-2010,0
112,17764,Don Miller,16-09-2009,Low,27,644.4,0.04,Regular Air,-97.28,22.84,16.87,Northwest Territories,Home Office,Office Supplies,Small Box,0.39,16-09-2009,0
113,18080,Sylvia Foulston,22-06-2009,High,7,1211.98,0.1,Delivery Truck,-80.83,180.98,26.2,Northwest Territories,Corporate,Furniture,Jumbo Drum,0.59,23-06-2009,0
114,18113,Becky Castell,28-08-2012,Not Specified,27,3316.08,0.08,Delivery Truck,-514.32,130.98,30,Northwest Territories,Consumer,Furniture,Jumbo Drum,0.78,30-08-2012,0
115,18144,Dorothy Wardle,07-06-2011,Critical,48,207.08,0.09,Regular Air,-131.82,4.28,5.17,Northwest Territories,Corporate,Office Supplies,Small Box,0.4,09-06-2011,0
116,18308,Ann Chong,09-10-2009,Not Specified,30,114.12,0.05,Regular Air,15.73,3.8,1.49,Northwest Territories,Corporate,Office Supplies,Small Box,0.38,11-10-2009,0
117,18887,Clay Rozendal,05-12-2010,Not Specified,9,173.417,0,Regular Air,18.23,20.99,0.99,Northwest Territories,Corporate,Technology,Wrap Bag,0.37,07-12-2010,0
118,19010,Grant Carroll,07-06-2009,Low,18,23792.93,0,Regular Air,10951.31,1270.99,19.99,Northwest Territories,Small Business,Office Supplies,Small Box,0.35,09-06-2009,1
119,19078,Brendan Dodson,27-07-2009,Critical,21,256.12,0.03,Regular Air,-18.19,11.97,4.98,Northwest Territories,Corporate,Office Supplies,Small Box,0.58,28-07-2009,1
120,19138,Carlos Daly,05-09-2011,Low,30,387,0.01,Express Air,-31.45,12.28,6.13,Northwest Territories,Home Office,Office Supplies,Small Box,0.57,10-09-2011,1
121,19655,Alan Barnes,11-01-2009,High,31,1143.45,0.06,Regular Air,304.42,39.24,1.99,Northwest Territories,Corporate,Technology,Small Pack,0.51,12-01-2009,0
122,19686,Alan Barnes,15-08-2010,Medium,2,42.31,0.06,Regular Air,-53.08,17.98,8.51,Northwest Territories,Corporate,Technology,Medium Box,0.4,15-08-2010,0
123,20007,Nicole Hansen,05-08-2009,Not Specified,49,82.61,0.08,Regular Air,-46.25,1.68,1.57,Northwest Territories,Small Business,Office Supplies,Wrap Bag,0.59,06-08-2009,0
124,20071,Cari Schnelling,17-09-2011,Medium,31,789.94,0.1,Delivery Truck,-190.41,25.98,14.36,Northwest Territories,Home Office,Furniture,Jumbo Drum,0.6,19-09-2011,0
125,20160,Chad Cunningham,22-10-2011,Low,42,435.24,0.08,Express Air,174.89,10.31,1.79,Northwest Territories,Small Business,Office Supplies,Wrap Bag,0.38,24-10-2011,0
126,20263,Bryan Mills,14-11-2009,Medium,8,473.7,0.05,Regular Air,72.51,59.78,10.29,Northwest Territories,Small Business,Office Supplies,Small Box,0.39,15-11-2009,0
127,21285,Adrian Hane,03-07-2010,Medium,32,54.78,0.02,Regular Air,-30.54,1.68,1.57,Northwest Territories,Corporate,Office Supplies,Wrap Bag,0.59,04-07-2010,0
128,21383,Rick Reed,30-01-2009,Low,31,16066.85,0.07,Regular Air,7416.43,574.74,24.49,Northwest Territories,Consumer,Technology,Large Box,0.37,04-02-2009,1
129,21607,Heather Kirkland,15-03-2012,Not Specified,17,618.9,0.09,Regular Air,54.92,36.55,13.89,Northwest Territories,Home Office,Office Supplies,Wrap Bag,0.41,17-03-2012,0
130,21636,Fred Wasserman,10-08-2009,Low,35,1665.0395,0.02,Regular Air,366.51,55.99,3.3,Northwest Territories,Home Office,Technology,Small Pack,0.59,10-08-2009,0
131,21889,Becky Castell,01-04-2010,Low,21,1049.79,0.08,Regular Air,135.79,51.75,19.99,Northwest Territories,Consumer,Furniture,Small Box,0.55,08-04-2010,0
132,22151,Beth Thompson,31-07-2010,High,49,465.83,0.1,Regular Air,-79.72,9.65,6.22,Northwest Territories,Corporate,Furniture,Small Box,0.55,31-07-2010,0
133,22342,Claudia Miner,29-05-2009,Low,13,241.706,0,Regular Air,-92.96,20.99,3.3,Northwest Territories,Small Business,Technology,Small Pack,0.81,05-06-2009,0
134,22469,Jack Lebron,11-10-2010,High,44,275.91,0.1,Regular Air,-162.37,7.99,5.03,Northwest Territories,Corporate,Technology,Medium Box,0.6,13-10-2010,0
135,22501,Alan Barnes,18-05-2010,High,2,30.83,0.04,Express Air,7.27,7.64,1.39,Northwest Territories,Corporate,Office Supplies,Small Box,0.36,19-05-2010,0
136,22532,Carlos Soltero,08-02-2011,Critical,13,121.66,0.03,Regular Air,-11.8,8.85,5.6,Northwest Territories,Consumer,Office Supplies,Small Box,0.36,08-02-2011,0
137,23264,Clay Rozendal,07-12-2010,Critical,16,108.42,0.02,Regular Air,-50.82,6.48,6.81,Northwest Territories,Corporate,Office Supplies,Small Box,0.36,09-12-2010,0
138,23488,Julia West,06-01-2009,Critical,30,26133.39,0.04,Delivery Truck,-11053.6,880.98,44.55,Northwest Territories,Home Office,Furniture,Jumbo Box,0.62,07-01-2009,1
139,23584,Alan Barnes,12-03-2012,Critical,14,2671.21,0.06,Delivery Truck,636.18,200.97,15.59,Northwest Territories,Corporate,Technology,Jumbo Drum,0.36,14-03-2012,0
140,24007,Joy Bell,26-08-2010,Low,26,531.66,0.08,Regular Air,135.65,20.89,1.99,Northwest Territories,Home Office,Technology,Small Pack,0.48,02-09-2010,0
141,24038,Jack Lebron,20-06-2011,High,38,103.07,0.1,Regular Air,-0.95,2.78,1.34,Northwest Territories,Corporate,Office Supplies,Wrap Bag,0.45,22-06-2011,0
142,24097,Anthony Johnson,04-08-2010,High,1,17.19,0,Regular Air,-35.34,14.48,1.99,Northwest Territories,Small Business,Technology,Small Pack,0.49,04-08-2010,0
143,24128,Eugene Barchas,23-11-2010,High,13,270.63,0.1,Regular Air,7.07,21.98,8.32,Northwest Territories,Corporate,Office Supplies,Wrap Bag,0.39,25-11-2010,0
144,24294,Thomas Seio,02-08-2009,Not Specified,24,4865.72,0.03,Delivery Truck,1951.3,200.97,15.59,Northwest Territories,Home Office,Technology,Jumbo Drum,0.36,03-08-2009,0
145,24387,Bryan Mills,10-08-2011,Critical,23,1003.31,0.01,Regular Air,51.9,40.97,14.45,Northwest Territories,Small Business,Furniture,Large Box,0.57,11-08-2011,0
146,24515,Eugene Barchas,06-05-2010,Critical,41,3051.27,0.1,Delivery Truck,121.48,80.97,33.6,Northwest Territories,Home Office,Technology,Jumbo Drum,0.37,08-05-2010,0
147,24743,Sylvia Foulston,28-06-2012,Low,47,9633.59,0.06,Delivery Truck,176.67,216.6,64.2,Northwest Territories,Corporate,Furniture,Jumbo Drum,0.59,05-07-2012,0
148,24871,Carl Ludwig,23-03-2011,Medium,6,143.78,0.04,Regular Air,75.3,22.72,8.99,Northwest Territories,Corporate,Furniture,Small Pack,0.44,24-03-2011,0
149,25318,Julia West,19-11-2011,Critical,22,440.92,0.05,Express Air,-65.18,19.98,10.49,Northwest Territories,Small Business,Furniture,Small Box,0.49,21-11-2011,0
150,25377,Don Jones,26-11-2012,Low,3,4343.51,0.09,Delivery Truck,-3755.03,1500.97,29.7,Northwest Territories,Corporate,Technology,Jumbo Drum,0.57,03-12-2012,0
151,25634,Mike Pelletier,29-07-2010,Not Specified,29,593.32,0.03,Regular Air,28.99,20.95,4,Northwest Territories,Corporate,Technology,Small Box,0.6,01-08-2010,0
152,25733,Eugene Barchas,12-05-2012,Low,24,557.23,0.09,Regular Air,-42.99,24.92,12.98,Northwest Territories,Home Office,Office Supplies,Small Box,0.39,17-05-2012,0
