Order.Quantity,Sales,Discount,Profit,Unit.Price,Shipping.Cost,Product.Base.Margin,Customer.Name,Customer.Segment,Product.Category,Region,Order.Priority,Ship.Mode,Product.Container,Days_to_Ship,Order_Quarter,Order_Month,Order_Weekday,Order_Day,Ship_Month,Ship_Weekday,Ship_Day,Order_Day_cat,Ship_Day_cat
47,191.670000,0.000000,-236.270000,3.890000,7.010000,0.370000,Eugene Barchas,Corporate,Office Supplies,Nunavut,High,Regular Air,Small Box,0,3,9,3,10,9,3,10,10,10
30,14223.820000,0.090000,3424.220000,500.980000,26.000000,0.600000,Edward Hooks,Consumer,Furniture,Nunavut,Not Specified,Delivery Truck,Jumbo Drum,61,3,9,6,12,11,4,12,12,12
5,42.660000,0.060000,-11.830000,7.840000,4.710000,0.350000,Brad Eason,Small Business,Office Supplies,Nunavut,Critical,Regular Air,Small Box,61,3,8,4,10,10,2,10,10,10
21,427.320000,0.000000,52.350000,18.970000,9.030000,0.370000,Nicole Hansen,Small Business,Office Supplies,Nunavut,High,Regular Air,Small Box,29,1,2,6,5,3,0,5,5,5
8,820.284000,0.000000,-180.200000,115.990000,2.500000,0.570000,Dorothy Wardle,Corporate,Technology,Nunavut,Medium,Regular Air,Small Box,0,3,8,1,3,8,1,3,3,3
5,14.760000,0.010000,1.320000,2.880000,0.500000,0.360000,Aaron Bergman,Corporate,Office Supplies,Nunavut,Not Specified,Regular Air,Small Box,2,2,5,5,28,5,0,30,28,30
9,89.550000,0.060000,-375.640000,4.480000,49.000000,0.600000,Jim Radford,Corporate,Office Supplies,Nunavut,Medium,Regular Air,Large Box,2,3,9,6,19,9,1,21,19,21
11,1210.051500,0.040000,-104.250000,125.990000,7.690000,0.580000,Annie Cyprus,Home Office,Technology,Nunavut,High,Regular Air,Small Box,-234,3,8,2,31,1,6,9,31,9
7,59.380000,0.100000,-3.050000,8.690000,2.990000,0.390000,Annie Cyprus,Home Office,Office Supplies,Nunavut,Not Specified,Regular Air,Small Box,61,3,8,6,7,10,4,7,7,7
42,1285.370000,0.100000,514.070000,31.780000,1.990000,0.420000,Clay Rozendal,Corporate,Technology,Nunavut,Critical,Regular Air,Small Pack,-28,1,1,4,30,1,4,2,30,2
11,48.910000,0.010000,-7.040000,3.980000,2.970000,0.350000,Don Jones,Corporate,Office Supplies,Nunavut,Low,Regular Air,Wrap Bag,-201,3,8,2,1,1,4,13,1,13
22,129.620000,0.050000,4.410000,5.880000,3.040000,0.360000,Beth Thompson,Corporate,Office Supplies,Nunavut,Critical,Regular Air,Wrap Bag,31,3,7,6,11,8,2,11,11,11
12,118.970000,0.090000,-0.060000,9.650000,6.220000,0.550000,Frank Price,Corporate,Furniture,Nunavut,Not Specified,Regular Air,Small Box,-114,2,4,3,29,1,1,5,29,5
8,61.871500,0.000000,-50.330000,7.990000,5.030000,0.600000,Michelle Lonsdale,Home Office,Technology,Nunavut,Not Specified,Regular Air,Medium Box,61,4,12,5,31,3,3,1,31,1
7,384.330000,0.100000,87.680000,58.100000,1.490000,0.380000,Ann Chong,Corporate,Office Supplies,Nunavut,High,Regular Air,Small Box,-117,4,12,1,8,8,3,13,8,13
44,3922.420000,0.080000,-354.900000,92.230000,39.610000,0.670000,Joy Bell,Home Office,Furniture,Nunavut,Low,Regular Air,Medium Box,-22,4,12,6,11,11,5,19,11,19
19,208.280000,0.070000,3.630000,11.480000,5.430000,0.360000,Skye Norling,Home Office,Office Supplies,Nunavut,High,Regular Air,Small Box,0,1,1,4,20,1,4,20,20,20
6,9620.820000,0.040000,-1759.580000,1637.530000,24.490000,0.810000,Barry Weirich,Corporate,Office Supplies,Nunavut,Medium,Regular Air,Medium Box,2,1,3,4,20,3,6,22,20,22
40,255.480000,0.040000,-116.790000,6.480000,6.650000,0.360000,Grant Carroll,Corporate,Office Supplies,Nunavut,Low,Regular Air,Small Box,7,3,7,5,21,7,5,28,21,28
11,312.360000,0.070000,-19.330000,28.150000,8.990000,0.570000,Adrian Hane,Corporate,Office Supplies,Nunavut,Critical,Express Air,Small Pack,-174,4,12,3,6,6,4,15,6,15
41,217.000000,0.010000,-61.210000,4.980000,4.750000,0.360000,Skye Norling,Home Office,Office Supplies,Nunavut,Low,Regular Air,Small Box,5,1,1,3,15,1,1,20,15,20
40,436.170000,0.080000,-141.270000,10.900000,7.460000,0.590000,Andrew Gjertsen,Consumer,Office Supplies,Nunavut,Low,Express Air,Small Box,122,2,4,1,6,8,4,6,6,6
18,136.290000,0.050000,-77.280000,7.300000,7.720000,0.380000,Ralph Knight,Consumer,Office Supplies,Nunavut,Not Specified,Regular Air,Small Box,1,1,2,3,18,2,4,19,18,19
32,1311.250000,0.000000,407.440000,39.480000,1.990000,0.540000,Dorothy Wardle,Corporate,Technology,Nunavut,Not Specified,Express Air,Small Pack,2,4,11,2,16,11,4,18,16,18
22,6396.200000,0.020000,1902.240000,276.200000,24.490000,0.440000,Grant Carroll,Corporate,Furniture,Nunavut,Low,Regular Air,Large Box,123,3,7,4,8,11,1,8,8,8
50,751.770000,0.050000,353.200000,15.670000,1.390000,0.380000,Barry Weirich,Corporate,Office Supplies,Nunavut,Medium,Regular Air,Small Box,31,3,8,4,6,9,0,6,6,6
37,1003.060000,0.030000,271.780000,25.980000,5.370000,0.500000,Beth Paige,Consumer,Office Supplies,Nunavut,Medium,Regular Air,Medium Box,0,4,10,5,17,10,5,17,17,17
4,1266.720000,0.040000,-268.360000,300.980000,64.730000,0.560000,Sylvia Foulston,Corporate,Furniture,Nunavut,High,Delivery Truck,Jumbo Drum,1,3,8,6,28,8,0,29,28,29
19,368.040000,0.070000,70.390000,19.980000,5.970000,0.380000,Nicole Hansen,Small Business,Office Supplies,Nunavut,Critical,Express Air,Small Box,-262,3,9,3,29,1,0,10,29,10
40,3338.980000,0.000000,-846.730000,80.980000,35.000000,0.810000,Nicole Hansen,Small Business,Office Supplies,Nunavut,Low,Regular Air,Large Box,122,2,4,3,5,8,6,5,5,5
5,24.160000,0.080000,8.050000,1.880000,1.490000,0.370000,Beth Paige,Consumer,Office Supplies,Nunavut,High,Express Air,Small Box,1,2,5,1,17,5,2,18,17,18
47,2799.700000,0.040000,884.080000,62.050000,3.990000,0.550000,Sylvia Foulston,Corporate,Office Supplies,Northwest Territories,Medium,Regular Air,Small Box,1,4,11,1,17,11,2,18,17,18
7,2039.560000,0.040000,-329.490000,279.480000,35.000000,0.800000,Bryan Davis,Corporate,Office Supplies,Northwest Territories,Not Specified,Express Air,Large Box,61,4,10,0,10,12,5,10,10,10
36,12175.820000,0.020000,2825.150000,320.980000,58.950000,0.570000,Joy Bell,Home Office,Furniture,Northwest Territories,Not Specified,Delivery Truck,Jumbo Drum,31,3,7,1,10,8,4,10,10,10
44,176.260000,0.070000,75.130000,4.130000,0.500000,0.390000,Alan Barnes,Corporate,Office Supplies,Northwest Territories,Medium,Regular Air,Small Box,3,3,8,5,13,8,1,16,13,16
32,4655.070000,0.000000,-270.630000,140.980000,53.480000,0.650000,Grant Carroll,Corporate,Furniture,Northwest Territories,High,Delivery Truck,Jumbo Box,1,3,8,1,16,8,2,17,16,17
1,12.180000,0.060000,-3.880000,10.140000,2.270000,0.360000,Delfina Latchford,Small Business,Office Supplies,Northwest Territories,Low,Regular Air,Wrap Bag,0,2,4,4,3,4,4,3,3,3
50,820.520000,0.010000,-191.220000,15.990000,13.180000,0.370000,Don Jones,Corporate,Office Supplies,Northwest Territories,Critical,Regular Air,Small Box,2,3,8,1,18,8,3,20,18,20
29,6250.936000,0.010000,31.210000,262.110000,62.740000,0.750000,Doug Bickford,Corporate,Furniture,Northwest Territories,Not Specified,Delivery Truck,Jumbo Box,1,4,11,1,16,11,2,17,16,17
25,854.880000,0.090000,-44.140000,33.980000,19.990000,0.550000,Doug Bickford,Corporate,Furniture,Northwest Territories,Low,Regular Air,Small Box,2,2,5,4,27,5,6,29,27,29
15,308.540000,0.000000,76.420000,19.840000,4.100000,0.440000,Jamie Kunitz,Corporate,Office Supplies,Northwest Territories,Not Specified,Express Air,Wrap Bag,1,3,8,0,23,8,1,24,23,24
20,400.570000,0.050000,93.360000,19.980000,5.770000,0.380000,Anthony Johnson,Small Business,Office Supplies,Northwest Territories,Not Specified,Regular Air,Small Box,2,3,8,4,19,8,6,21,19,21
14,1170.025000,0.040000,4.220000,95.990000,8.990000,0.570000,Ralph Knight,Consumer,Technology,Northwest Territories,Medium,Regular Air,Small Box,61,1,3,3,1,5,1,1,1,1
48,5188.860000,0.100000,395.120000,111.030000,8.640000,0.780000,Allen Rosenblatt,Small Business,Office Supplies,Northwest Territories,High,Regular Air,Small Box,1,4,11,3,29,11,4,30,29,30
8,339.810000,0.050000,79.590000,43.410000,2.990000,0.390000,Barry Weirich,Corporate,Office Supplies,Northwest Territories,Medium,Regular Air,Small Box,1,1,3,5,17,3,6,18,17,18
15,1519.900000,0.090000,399.370000,105.340000,24.490000,0.610000,Doug Bickford,Corporate,Furniture,Northwest Territories,Low,Regular Air,Large Box,-229,4,12,5,4,4,0,19,4,19
30,102.240000,0.090000,37.790000,3.690000,0.500000,0.380000,Carl Jackson,Home Office,Office Supplies,Northwest Territories,High,Regular Air,Small Box,2,3,8,1,24,8,3,26,24,26
6,965.690000,0.000000,-144.200000,146.340000,43.750000,0.650000,Brendan Dodson,Corporate,Furniture,Northwest Territories,High,Delivery Truck,Jumbo Box,30,2,4,3,7,5,5,7,7,7
25,397.840000,0.000000,-14.750000,15.220000,9.730000,0.360000,Edward Hooks,Consumer,Office Supplies,Northwest Territories,Critical,Regular Air,Small Box,61,4,10,0,11,12,5,11,11,11
4,73.070000,0.080000,-41.010000,15.700000,11.250000,0.600000,Jamie Kunitz,Corporate,Office Supplies,Northwest Territories,Critical,Regular Air,Small Box,1,2,6,3,24,6,4,25,24,25
46,8009.592500,0.020000,2332.400000,200.990000,8.080000,0.590000,Michelle Lonsdale,Home Office,Technology,Northwest Territories,Medium,Regular Air,Small Box,0,3,9,2,19,9,2,19,19,19
25,3019.410000,0.040000,1269.050000,120.970000,7.110000,0.360000,Brendan Dodson,Corporate,Technology,Northwest Territories,Low,Regular Air,Medium Box,4,4,12,5,24,12,2,28,24,28
5,36.860000,0.070000,-32.820000,5.810000,8.490000,0.390000,Hunter Glantz,Corporate,Office Supplies,Northwest Territories,Medium,Regular Air,Small Box,1,1,3,4,23,3,5,24,23,24
12,22079.470000,0.060000,5322.140000,1938.020000,13.990000,0.380000,Sylvia Foulston,Corporate,Technology,Northwest Territories,Critical,Regular Air,Medium Box,2,4,10,5,15,10,0,17,15,17
24,5407.310000,0.040000,1068.480000,226.670000,28.160000,0.590000,Eugene Barchas,Home Office,Furniture,Northwest Territories,Critical,Delivery Truck,Jumbo Drum,31,3,7,3,8,8,6,8,8,8
34,74.300000,0.080000,-129.010000,2.080000,5.330000,0.430000,Jim Radford,Corporate,Furniture,Northwest Territories,Low,Regular Air,Small Box,214,1,3,1,3,10,5,3,3,3
44,21506.770000,0.060000,1260.510000,499.990000,24.490000,0.360000,Carlos Soltero,Small Business,Technology,Northwest Territories,Low,Regular Air,Large Box,0,3,9,3,2,9,3,2,2,2
40,1143.490000,0.080000,-193.440000,30.530000,19.990000,0.390000,Carlos Soltero,Small Business,Office Supplies,Northwest Territories,Critical,Regular Air,Small Box,0,1,1,5,17,1,5,17,17,17
19,5297.470000,0.020000,-158.930000,270.980000,50.000000,0.770000,Jim Radford,Corporate,Furniture,Northwest Territories,Critical,Delivery Truck,Jumbo Drum,1,3,8,0,30,8,1,31,30,31
40,460.680000,0.010000,-116.760000,10.900000,7.460000,0.590000,Grant Carroll,Small Business,Office Supplies,Northwest Territories,High,Regular Air,Small Box,30,4,11,0,9,12,2,9,9,9
47,1020.610000,0.040000,-209.610000,21.660000,13.990000,0.520000,Skye Norling,Home Office,Office Supplies,Northwest Territories,Not Specified,Regular Air,Medium Box,1,3,7,3,16,7,4,17,16,17
44,268.340000,0.090000,-240.830000,6.480000,8.880000,0.370000,Doug Bickford,Corporate,Office Supplies,Northwest Territories,Low,Regular Air,Small Box,5,4,11,3,15,11,1,20,15,20
6,209.000000,0.080000,12.320000,35.440000,7.500000,0.380000,Grant Carroll,Small Business,Office Supplies,Northwest Territories,Low,Regular Air,Small Box,-25,4,10,6,9,9,2,14,9,14
30,501.320000,0.040000,-119.080000,15.990000,13.180000,0.370000,Muhammed MacIntyre,Small Business,Office Supplies,Northwest Territories,Not Specified,Regular Air,Small Box,-174,4,10,1,4,4,2,13,4,13
1,40.100000,0.090000,-16.070000,30.980000,11.630000,0.370000,Doug Bickford,Small Business,Office Supplies,Northwest Territories,High,Regular Air,Small Box,61,3,9,5,10,11,3,10,10,10
34,5350.610000,0.090000,-1059.200000,170.980000,60.490000,0.690000,Beth Thompson,Corporate,Furniture,Northwest Territories,Critical,Delivery Truck,Jumbo Box,2,4,10,1,23,10,3,25,23,25
15,310.870000,0.070000,-21.480000,20.950000,4.000000,0.600000,Ralph Knight,Consumer,Technology,Northwest Territories,Low,Regular Air,Small Box,0,3,8,2,1,8,2,1,1,1
48,9062.730000,0.090000,3122.780000,207.480000,0.990000,0.550000,Carl Jackson,Home Office,Office Supplies,Northwest Territories,Not Specified,Regular Air,Small Box,2,1,1,0,25,1,2,27,25,27
42,283.580000,0.030000,-14.230000,6.640000,4.950000,0.370000,Dorothy Badders,Home Office,Furniture,Northwest Territories,Not Specified,Regular Air,Small Pack,2,1,1,3,27,1,5,29,27,29
50,2066.160000,0.020000,372.360000,40.990000,17.480000,0.360000,Delfina Latchford,Small Business,Office Supplies,Northwest Territories,High,Regular Air,Small Box,2,3,8,3,27,8,5,29,27,29
18,4605.360000,0.020000,678.260000,243.980000,43.320000,0.550000,Julia West,Corporate,Furniture,Northwest Territories,Critical,Delivery Truck,Jumbo Drum,2,1,3,3,17,3,5,19,17,19
31,426.340000,0.000000,73.530000,12.580000,5.160000,0.430000,Brad Eason,Small Business,Furniture,Northwest Territories,Critical,Regular Air,Small Box,61,2,6,2,6,8,0,6,6,6
36,1837.440000,0.010000,-1414.410000,48.580000,54.110000,0.690000,Thomas Seio,Home Office,Furniture,Northwest Territories,High,Delivery Truck,Jumbo Box,-205,4,11,4,4,4,2,13,4,13
32,311.440000,0.040000,74.070000,9.780000,1.990000,0.430000,Monica Federle,Corporate,Technology,Northwest Territories,Low,Regular Air,Small Pack,122,2,6,0,11,10,3,11,11,11
3,121.120000,0.100000,-118.820000,43.980000,1.990000,0.440000,Michelle Lonsdale,Home Office,Technology,Northwest Territories,High,Regular Air,Small Pack,1,2,5,2,16,5,3,17,16,17
8,300.200000,0.000000,6.410000,34.760000,8.220000,0.570000,Frank Price,Corporate,Office Supplies,Northwest Territories,Not Specified,Regular Air,Small Box,61,3,9,1,4,11,6,4,4,4
19,128.210000,0.050000,-55.130000,6.480000,6.570000,0.370000,Bryan Davis,Corporate,Office Supplies,Northwest Territories,Medium,Regular Air,Small Box,61,2,5,1,8,7,6,8,8,8
9,252.790000,0.090000,58.230000,30.560000,2.990000,0.350000,Don Jones,Corporate,Office Supplies,Northwest Territories,Not Specified,Regular Air,Small Box,1,3,7,2,22,7,3,23,22,23
10,50.970000,0.090000,4.450000,5.160000,0.730000,0.560000,Carlos Soltero,Small Business,Office Supplies,Northwest Territories,Not Specified,Regular Air,Wrap Bag,61,3,9,6,5,11,4,5,5,5
30,10554.630000,0.090000,1240.250000,355.980000,58.920000,0.640000,Nicole Hansen,Corporate,Furniture,Northwest Territories,Not Specified,Delivery Truck,Jumbo Drum,2,1,2,2,18,2,4,20,18,20
47,1943.720000,0.030000,-1003.580000,41.470000,34.200000,0.730000,Beth Thompson,Corporate,Furniture,Northwest Territories,High,Regular Air,Wrap Bag,1,2,6,2,27,6,3,28,27,28
6,157.970000,0.010000,-42.380000,22.840000,16.870000,0.390000,Nicole Hansen,Small Business,Office Supplies,Northwest Territories,Medium,Regular Air,Small Box,-263,3,9,3,30,1,6,10,30,10
25,144.840000,0.090000,-120.990000,5.780000,8.090000,0.360000,Carlos Soltero,Consumer,Office Supplies,Northwest Territories,Critical,Regular Air,Small Box,1,2,4,3,15,4,4,16,15,16
4,5472.120000,0.060000,-2816.340000,1360.140000,14.700000,0.590000,Dorothy Badders,Home Office,Technology,Northwest Territories,Not Specified,Delivery Truck,Jumbo Drum,1,3,9,2,14,9,3,15,14,15
7,1810.670000,0.090000,-541.870000,270.980000,50.000000,0.770000,Muhammed MacIntyre,Small Business,Furniture,Northwest Territories,High,Delivery Truck,Jumbo Drum,1,3,9,1,21,9,2,22,21,22
31,633.560000,0.090000,-158.870000,20.970000,6.500000,0.780000,Muhammed MacIntyre,Small Business,Technology,Northwest Territories,Not Specified,Regular Air,Small Box,2,3,8,1,17,8,3,19,17,19
27,644.400000,0.040000,-97.280000,22.840000,16.870000,0.390000,Don Miller,Home Office,Office Supplies,Northwest Territories,Low,Regular Air,Small Box,0,3,9,2,16,9,2,16,16,16
7,1211.980000,0.100000,-80.830000,180.980000,26.200000,0.590000,Sylvia Foulston,Corporate,Furniture,Northwest Territories,High,Delivery Truck,Jumbo Drum,1,2,6,0,22,6,1,23,22,23
27,3316.080000,0.080000,-514.320000,130.980000,30.000000,0.780000,Becky Castell,Consumer,Furniture,Northwest Territories,Not Specified,Delivery Truck,Jumbo Drum,2,3,8,1,28,8,3,30,28,30
48,207.080000,0.090000,-131.820000,4.280000,5.170000,0.400000,Dorothy Wardle,Corporate,Office Supplies,Northwest Territories,Critical,Regular Air,Small Box,62,3,7,2,6,9,1,6,6,6
30,114.120000,0.050000,15.730000,3.800000,1.490000,0.380000,Ann Chong,Corporate,Office Supplies,Northwest Territories,Not Specified,Regular Air,Small Box,61,3,9,3,10,11,1,10,10,10
9,173.417000,0.000000,18.230000,20.990000,0.990000,0.370000,Clay Rozendal,Corporate,Technology,Northwest Territories,Not Specified,Regular Air,Wrap Bag,61,2,5,2,12,7,0,12,12,12
18,23792.930000,0.000000,10951.310000,1270.990000,19.990000,0.350000,Grant Carroll,Small Business,Office Supplies,Northwest Territories,Low,Regular Air,Small Box,62,3,7,0,6,9,6,6,6,6
21,256.120000,0.030000,-18.190000,11.970000,4.980000,0.580000,Brendan Dodson,Corporate,Office Supplies,Northwest Territories,Critical,Regular Air,Small Box,1,3,7,0,27,7,1,28,27,28
30,387.000000,0.010000,-31.450000,12.280000,6.130000,0.570000,Carlos Daly,Home Office,Office Supplies,Northwest Territories,Low,Express Air,Small Box,153,2,5,0,9,10,6,9,9,9
31,1143.450000,0.060000,304.420000,39.240000,1.990000,0.510000,Alan Barnes,Corporate,Technology,Northwest Territories,High,Regular Air,Small Pack,30,4,11,6,1,12,1,1,1,1
2,42.310000,0.060000,-53.080000,17.980000,8.510000,0.400000,Alan Barnes,Corporate,Technology,Northwest Territories,Medium,Regular Air,Medium Box,0,3,8,6,15,8,6,15,15,15
49,82.610000,0.080000,-46.250000,1.680000,1.570000,0.590000,Nicole Hansen,Small Business,Office Supplies,Northwest Territories,Not Specified,Regular Air,Wrap Bag,31,2,5,4,8,6,0,8,8,8
31,789.940000,0.100000,-190.410000,25.980000,14.360000,0.600000,Cari Schnelling,Home Office,Furniture,Northwest Territories,Medium,Delivery Truck,Jumbo Drum,2,3,9,5,17,9,0,19,17,19
42,435.240000,0.080000,174.890000,10.310000,1.790000,0.380000,Chad Cunningham,Small Business,Office Supplies,Northwest Territories,Low,Express Air,Wrap Bag,2,4,10,5,22,10,0,24,22,24
8,473.700000,0.050000,72.510000,59.780000,10.290000,0.390000,Bryan Mills,Small Business,Office Supplies,Northwest Territories,Medium,Regular Air,Small Box,1,4,11,5,14,11,6,15,14,15
32,54.780000,0.020000,-30.540000,1.680000,1.570000,0.590000,Adrian Hane,Corporate,Office Supplies,Northwest Territories,Medium,Regular Air,Wrap Bag,31,1,3,6,7,4,2,7,7,7
31,16066.850000,0.070000,7416.430000,574.740000,24.490000,0.370000,Rick Reed,Consumer,Technology,Northwest Territories,Low,Regular Air,Large Box,62,1,1,4,30,4,3,2,30,2
17,618.900000,0.090000,54.920000,36.550000,13.890000,0.410000,Heather Kirkland,Home Office,Office Supplies,Northwest Territories,Not Specified,Regular Air,Wrap Bag,2,1,3,3,15,3,5,17,15,17
35,1665.039500,0.020000,366.510000,55.990000,3.300000,0.590000,Fred Wasserman,Home Office,Technology,Northwest Territories,Low,Regular Air,Small Pack,0,4,10,3,8,10,3,8,8,8
21,1049.790000,0.080000,135.790000,51.750000,19.990000,0.550000,Becky Castell,Consumer,Furniture,Northwest Territories,Low,Regular Air,Small Box,212,1,1,0,4,8,2,4,4,4
49,465.830000,0.100000,-79.720000,9.650000,6.220000,0.550000,Beth Thompson,Corporate,Furniture,Northwest Territories,High,Regular Air,Small Box,0,3,7,5,31,7,5,31,31,31
13,241.706000,0.000000,-92.960000,20.990000,3.300000,0.810000,Claudia Miner,Small Business,Technology,Northwest Territories,Low,Regular Air,Small Pack,-23,2,5,4,29,5,2,6,29,6
44,275.910000,0.100000,-162.370000,7.990000,5.030000,0.600000,Jack Lebron,Corporate,Technology,Northwest Territories,High,Regular Air,Medium Box,-28,4,11,2,10,10,2,13,10,13
2,30.830000,0.040000,7.270000,7.640000,1.390000,0.360000,Alan Barnes,Corporate,Office Supplies,Northwest Territories,High,Express Air,Small Box,1,2,5,1,18,5,2,19,18,19
13,121.660000,0.030000,-11.800000,8.850000,5.600000,0.360000,Carlos Soltero,Consumer,Office Supplies,Northwest Territories,Critical,Regular Air,Small Box,0,3,8,1,2,8,1,2,2,2
16,108.420000,0.020000,-50.820000,6.480000,6.810000,0.360000,Clay Rozendal,Corporate,Office Supplies,Northwest Territories,Critical,Regular Air,Small Box,62,3,7,0,12,9,6,12,12,12
30,26133.390000,0.040000,-11053.600000,880.980000,44.550000,0.620000,Julia West,Home Office,Furniture,Northwest Territories,Critical,Delivery Truck,Jumbo Box,30,2,6,0,1,7,2,1,1,1
14,2671.210000,0.060000,636.180000,200.970000,15.590000,0.360000,Alan Barnes,Corporate,Technology,Northwest Territories,Critical,Delivery Truck,Jumbo Drum,-264,4,12,0,3,3,2,14,3,14
26,531.660000,0.080000,135.650000,20.890000,1.990000,0.480000,Joy Bell,Home Office,Technology,Northwest Territories,Low,Regular Air,Small Pack,-198,3,8,3,26,2,1,9,26,9
38,103.070000,0.100000,-0.950000,2.780000,1.340000,0.450000,Jack Lebron,Corporate,Office Supplies,Northwest Territories,High,Regular Air,Wrap Bag,2,2,6,0,20,6,2,22,20,22
1,17.190000,0.000000,-35.340000,14.480000,1.990000,0.490000,Anthony Johnson,Small Business,Technology,Northwest Territories,High,Regular Air,Small Pack,0,2,4,3,8,4,3,8,8,8
